intensidade,quantidade
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,42
51,249
52,428
53,580
54,705
55,779
56,933
57,1088
58,1198
59,1104
60,1232
61,1349
62,1315
63,1304
64,1446
65,1608
66,1690
67,1895
68,1750
69,1749
70,1774
71,1863
72,1814
73,1712
74,1691
75,1685
76,1588
77,1584
78,1663
79,1526
80,1614
81,1457
82,1314
83,1308
84,1316
85,1236
86,1180
87,1136
88,1121
89,1180
90,1046
91,1049
92,990
93,1065
94,1040
95,1018
96,989
97,1035
98,998
99,1070
100,1058
101,1056
102,1112
103,1095
104,1142
105,1167
106,1263
107,1277
108,1266
109,1396
110,1366
111,1435
112,1523
113,1594
114,1631
115,1677
116,1770
117,1796
118,2024
119,1947
120,2074
121,2140
122,2189
123,2248
124,2274
125,2261
126,2365
127,2354
128,2337
129,2292
130,2305
131,2325
132,2264
133,2174
134,2112
135,2124
136,2089
137,2016
138,1924
139,1893
140,1792
141,1837
142,1664
143,1604
144,1600
145,1568
146,1578
147,1558
148,1492
149,1593
150,1540
151,1523
152,1540
153,1560
154,1604
155,1520
156,1572
157,1547
158,1564
159,1568
160,1495
161,1570
162,1506
163,1517
164,1490
165,1536
166,1521
167,1544
168,1508
169,1500
170,1545
171,1503
172,1528
173,1520
174,1546
175,1450
176,1538
177,1452
178,1530
179,1486
180,1501
181,1463
182,1618
183,1594
184,1531
185,1629
186,1601
187,1681
188,1652
189,1630
190,1663
191,1626
192,1554
193,1664
194,1699
195,1739
196,1732
197,1699
198,1733
199,1789
200,1688
201,1685
202,1672
203,1626
204,1627
205,1570
206,1666
207,1640
208,1605
209,1585
210,1501
211,1599
212,1578
213,1536
214,1538
215,1587
216,1488
217,1540
218,1499
219,1476
220,1434
221,1414
222,1471
223,1490
224,1399
225,1524
226,1379
227,1385
228,1338
229,1278
230,1224
231,1204
232,1222
233,1161
234,1137
235,1104
236,1110
237,1049
238,1041
239,1046
240,1079
241,988
242,974
243,1120
244,970
245,919
246,1053
247,950
248,925
249,935
250,885
251,939
252,846
253,764
254,728
255,5281
