intensidade,quantidade
0,56356
1,0
2,1040
3,0
4,1018
5,989
6,1035
7,0
8,998
9,0
10,1070
11,1058
12,1056
13,0
14,1112
15,0
16,1095
17,1142
18,1167
19,0
20,1263
21,0
22,1277
23,1266
24,1396
25,0
26,1366
27,0
28,1435
29,1523
30,1594
31,0
32,1631
33,0
34,1677
35,1770
36,1796
37,0
38,2024
39,0
40,1947
41,2074
42,2140
43,0
44,2189
45,0
46,2248
47,2274
48,2261
49,0
50,2365
51,0
52,2354
53,2337
54,2292
55,0
56,2305
57,0
58,2325
59,2264
60,2174
61,0
62,2112
63,0
64,2124
65,2089
66,2016
67,0
68,1924
69,0
70,1893
71,1792
72,1837
73,0
74,1664
75,0
76,1604
77,1600
78,1568
79,0
80,1578
81,0
82,1558
83,1492
84,1593
85,0
86,1540
87,0
88,1523
89,1540
90,1560
91,0
92,1604
93,0
94,1520
95,1572
96,1547
97,0
98,1564
99,0
100,1568
101,1495
102,1570
103,0
104,1506
105,0
106,1517
107,1490
108,1536
109,0
110,1521
111,0
112,1544
113,1508
114,1500
115,0
116,1545
117,0
118,1503
119,1528
120,1520
121,0
122,1546
123,0
124,1450
125,1538
126,1452
127,0
128,1530
129,0
130,1486
131,1501
132,1463
133,0
134,1618
135,0
136,1594
137,1531
138,1629
139,0
140,1601
141,0
142,1681
143,1652
144,1630
145,0
146,1663
147,0
148,1626
149,1554
150,1664
151,0
152,1699
153,0
154,1739
155,1732
156,1699
157,0
158,1733
159,0
160,1789
161,1688
162,1685
163,0
164,1672
165,0
166,1626
167,1627
168,1570
169,0
170,1666
171,0
172,1640
173,1605
174,1585
175,0
176,1501
177,0
178,1599
179,1578
180,1536
181,0
182,1538
183,0
184,1587
185,1488
186,1540
187,0
188,1499
189,0
190,1476
191,1434
192,1414
193,0
194,1471
195,0
196,1490
197,1399
198,1524
199,0
200,1379
201,0
202,1385
203,1338
204,1278
205,0
206,1224
207,0
208,1204
209,1222
210,1161
211,0
212,1137
213,0
214,1104
215,1110
216,1049
217,0
218,1041
219,0
220,1046
221,1079
222,988
223,0
224,974
225,0
226,1120
227,970
228,919
229,0
230,1053
231,0
232,950
233,925
234,935
235,0
236,885
237,0
238,939
239,846
240,764
241,0
242,728
243,0
244,615
245,595
246,525
247,0
248,458
249,0
250,325
251,340
252,270
253,0
254,253
255,1900
