intensidade,quantidade
0,42
1,249
2,428
3,580
4,705
5,779
6,933
7,1088
8,1198
9,1104
10,1232
11,1349
12,1315
13,1304
14,1446
15,1608
16,1690
17,1895
18,1750
19,1749
20,1774
21,1863
22,1814
23,1712
24,1691
25,1685
26,1588
27,1584
28,1663
29,1526
30,1614
31,1457
32,1314
33,1308
34,1316
35,1236
36,1180
37,1136
38,1121
39,1180
40,1046
41,1049
42,990
43,1065
44,1040
45,1018
46,989
47,1035
48,998
49,1070
50,1058
51,1056
52,1112
53,1095
54,1142
55,1167
56,1263
57,1277
58,1266
59,1396
60,1366
61,1435
62,1523
63,1594
64,1631
65,1677
66,1770
67,1796
68,2024
69,1947
70,2074
71,2140
72,2189
73,2248
74,2274
75,2261
76,2365
77,2354
78,2337
79,2292
80,2305
81,2325
82,2264
83,2174
84,2112
85,2124
86,2089
87,2016
88,1924
89,1893
90,1792
91,1837
92,1664
93,1604
94,1600
95,1568
96,1578
97,1558
98,1492
99,1593
100,1540
101,1523
102,1540
103,1560
104,1604
105,1520
106,1572
107,1547
108,1564
109,1568
110,1495
111,1570
112,1506
113,1517
114,1490
115,1536
116,1521
117,1544
118,1508
119,1500
120,1545
121,1503
122,1528
123,1520
124,1546
125,1450
126,1538
127,1452
128,1530
129,1486
130,1501
131,1463
132,1618
133,1594
134,1531
135,1629
136,1601
137,1681
138,1652
139,1630
140,1663
141,1626
142,1554
143,1664
144,1699
145,1739
146,1732
147,1699
148,1733
149,1789
150,1688
151,1685
152,1672
153,1626
154,1627
155,1570
156,1666
157,1640
158,1605
159,1585
160,1501
161,1599
162,1578
163,1536
164,1538
165,1587
166,1488
167,1540
168,1499
169,1476
170,1434
171,1414
172,1471
173,1490
174,1399
175,1524
176,1379
177,1385
178,1338
179,1278
180,1224
181,1204
182,1222
183,1161
184,1137
185,1104
186,1110
187,1049
188,1041
189,1046
190,1079
191,988
192,974
193,1120
194,970
195,919
196,1053
197,950
198,925
199,935
200,885
201,939
202,846
203,764
204,728
205,615
206,595
207,525
208,458
209,325
210,340
211,270
212,253
213,242
214,207
215,196
216,164
217,126
218,121
219,105
220,87
221,84
222,63
223,67
224,60
225,51
226,38
227,35
228,40
229,32
230,31
231,13
232,17
233,19
234,17
235,15
236,11
237,11
238,11
239,6
240,4
241,1
242,3
243,6
244,5
245,4
246,3
247,2
248,3
249,0
250,0
251,0
252,0
253,0
254,0
255,0
